transaction_id,transaction_amount_usd,transaction_hour,day_of_week,device_type,merchant_category,channel,country,customer_tenure_months,prev_transactions_7d,previous_fraud_count,location_risk_score,is_international,distance_from_home_km,fraud
108,187.05,11,2,ios,restaurant,card_present,EC,64,14,0,0.392,0,39.58,0
109,480.5,23,5,web,grocery,atm,ES,76,15,0,0.499,0,47.05,0
110,61.6,23,3,web,grocery,card_present,EC,91,11,0,0.468,0,48.12,0
111,347.28,1,3,web,services,ecommerce,US,67,13,0,0.285,0,47.69,0
112,296.72,12,1,web,electronics,card_present,EC,103,19,0,0.206,0,16.77,0
113,152.52,10,3,web,pharmacy,ecommerce,PE,31,10,0,0.587,0,26.62,0
114,77.15,11,6,ios,grocery,card_present,US,90,9,0,0.211,0,1.51,0
115,259.9,7,5,pos_terminal,restaurant,card_present,EC,41,7,0,0.005,0,43.57,0
116,160.61,13,3,web,restaurant,card_present,EC,76,19,0,0.088,0,18.4,0
117,295.52,11,2,ios,travel,atm,US,59,10,0,0.246,0,7.98,0
118,249.65,4,2,ios,fashion,ecommerce,EC,109,12,0,0.619,0,36.08,0
119,883.6,6,0,android,pharmacy,card_present,EC,32,13,1,0.136,0,33.55,0
120,202.57,3,0,pos_terminal,fuel,card_present,EC,62,4,0,0.624,0,14.55,0
121,108.18,20,5,android,restaurant,ecommerce,EC,19,8,0,0.585,1,70.48,0
122,283.16,16,5,ios,gaming,card_present,EC,76,11,0,0.391,0,21.7,0
123,292.53,9,6,android,grocery,ecommerce,EC,4,17,0,0.0,0,20.1,0
124,727.73,9,4,android,fuel,card_present,EC,49,12,0,0.137,1,16.6,0
125,478.51,1,6,ios,services,card_present,EC,1,15,0,0.236,0,42.44,0
126,326.39,6,2,ios,services,ecommerce,US,39,10,0,0.662,0,31.09,0
127,790.94,22,1,android,grocery,card_present,EC,58,9,0,0.248,0,1.17,0
128,94.78,0,1,android,pharmacy,card_present,EC,40,7,0,0.211,0,9.01,0
129,147.05,3,1,web,grocery,wallet,EC,46,16,0,0.384,1,4.1,0
130,116.9,20,5,web,fuel,ecommerce,US,17,13,0,0.096,0,4.48,0
131,179.6,12,0,web,restaurant,wallet,PE,86,17,0,0.346,0,26.39,0
132,81.55,0,6,pos_terminal,fashion,card_present,EC,96,11,0,0.206,0,29.11,1
133,407.77,11,5,android,fashion,wallet,PE,55,14,0,0.834,0,14.75,0
134,205.37,17,2,ios,electronics,ecommerce,EC,6,10,0,0.185,0,23.63,0
135,75.64,8,4,ios,fashion,card_present,EC,7,8,0,0.697,0,2.85,0
136,108.87,9,0,android,grocery,card_present,EC,81,20,0,0.145,0,26.56,0
137,315.26,15,3,web,electronics,card_present,EC,112,14,0,0.397,1,0.44,0
138,479.66,14,0,android,travel,wallet,EC,104,10,0,0.44,0,51.37,0
139,1211.93,21,0,ios,travel,ecommerce,EC,49,11,0,0.376,0,17.22,0
140,2524.19,5,0,android,restaurant,ecommerce,EC,60,9,0,0.364,0,42.66,0
141,341.76,6,5,ios,fuel,wallet,US,19,13,0,0.505,0,24.94,0
142,111.16,3,5,web,grocery,card_present,EC,8,15,0,0.425,0,26.46,0
143,44.56,15,6,web,pharmacy,card_present,ES,92,13,0,0.319,1,6.81,0
144,303.92,12,6,web,fashion,card_present,EC,51,7,0,0.229,0,41.18,0
145,128.03,8,6,android,grocery,wallet,EC,60,14,0,0.32,0,17.39,0
146,175.97,16,6,android,grocery,ecommerce,US,41,15,0,0.318,0,11.84,0
147,150.34,9,0,web,pharmacy,card_present,CO,37,10,0,0.314,0,40.75,0
148,219.19,4,5,android,travel,atm,EC,119,19,1,0.364,0,15.5,0
149,575.57,12,5,ios,electronics,ecommerce,EC,98,19,0,0.096,0,49.7,0
150,278.17,10,1,web,services,card_present,EC,83,7,0,0.165,0,10.68,0
151,216.09,9,0,ios,restaurant,ecommerce,CO,47,18,1,0.5,0,11.52,0
152,107.13,10,6,ios,restaurant,ecommerce,EC,87,12,0,0.0,0,4.09,0
153,64.25,21,6,pos_terminal,electronics,wallet,EC,41,12,0,0.565,0,39.53,0
154,166.26,5,2,pos_terminal,fashion,card_present,PE,62,9,0,0.249,0,33.92,0
155,234.99,6,0,android,electronics,ecommerce,EC,17,10,0,0.651,0,4.25,0
156,1009.22,13,2,web,electronics,card_present,EC,85,14,0,0.571,1,13.14,0
157,272.27,1,0,ios,gaming,card_present,EC,7,11,0,0.291,0,26.05,0
158,538.49,3,4,web,grocery,wallet,EC,87,14,0,0.31,0,8.43,0
159,164.54,13,2,ios,grocery,ecommerce,EC,73,9,0,0.637,1,3.34,0
160,95.07,12,0,pos_terminal,fashion,wallet,EC,8,21,0,0.579,0,7.5,0
161,113.35,15,6,web,restaurant,card_present,EC,61,17,0,0.525,0,31.62,0
162,137.33,2,5,ios,electronics,ecommerce,EC,26,18,0,0.556,0,40.04,0
163,1346.63,20,6,ios,electronics,ecommerce,EC,57,12,0,0.154,0,37.62,0
164,127.16,11,6,android,grocery,card_present,EC,1,20,0,0.387,0,26.39,0
165,479.8,3,0,android,pharmacy,ecommerce,US,87,15,0,0.211,0,46.6,0
166,119.13,7,5,ios,fuel,card_present,EC,61,12,0,0.15,0,11.29,0
167,516.9,5,5,ios,restaurant,card_present,EC,43,9,1,0.379,1,21.69,0
168,333.8,10,5,web,fuel,card_present,US,105,7,0,0.276,0,70.71,0
169,216.43,11,1,web,pharmacy,ecommerce,EC,78,13,0,0.32,0,33.92,0
170,237.45,10,2,android,electronics,card_present,EC,73,10,0,0.26,0,1.36,0
171,145.29,11,6,android,pharmacy,card_present,EC,17,15,0,0.124,0,13.9,0
172,350.53,21,0,android,grocery,atm,EC,60,12,1,0.655,1,19.22,0
173,170.48,23,4,ios,services,card_present,EC,84,3,0,0.378,0,47.95,0
174,92.03,11,5,ios,restaurant,ecommerce,EC,112,10,0,0.09,0,25.44,0
175,88.26,23,5,android,fuel,card_present,CO,73,14,0,0.383,0,6.57,0
176,281.65,19,4,android,travel,card_present,EC,20,9,0,0.624,0,25.64,0
177,867.71,19,5,android,fashion,wallet,EC,82,11,0,0.523,0,4.76,0
178,278.82,5,6,ios,fuel,ecommerce,EC,9,12,0,0.257,1,16.86,1
179,223.11,10,5,pos_terminal,fashion,card_present,EC,37,13,0,0.261,0,27.47,0
180,308.35,8,0,pos_terminal,restaurant,card_present,EC,110,11,0,0.178,0,55.82,0
181,697.42,2,1,ios,grocery,ecommerce,EC,97,9,0,0.216,0,23.24,0
182,292.39,1,2,ios,pharmacy,card_present,CO,109,10,0,0.231,0,17.44,0
183,176.59,14,2,ios,grocery,ecommerce,EC,42,11,0,0.086,0,62.89,0
184,594.44,10,2,android,restaurant,card_present,EC,82,15,0,0.27,0,36.9,0
185,345.71,19,1,web,pharmacy,card_present,US,84,12,0,0.412,0,9.7,0
186,838.14,16,4,android,fuel,wallet,EC,29,13,0,0.275,0,6.53,0
187,284.06,2,0,ios,travel,card_present,CO,114,10,0,0.389,0,6.04,0
188,92.11,20,5,pos_terminal,travel,card_present,EC,117,12,0,0.642,0,27.1,0
189,82.11,11,4,android,fashion,ecommerce,EC,13,18,0,0.68,0,36.52,0
190,919.04,13,6,ios,grocery,card_present,EC,92,9,0,0.338,0,1.01,0
191,974.1,23,0,web,fuel,atm,EC,54,11,0,0.508,0,28.73,0
192,212.51,15,2,android,services,card_present,EC,81,11,0,0.32,0,10.44,0
193,180.55,0,6,pos_terminal,fuel,card_present,EC,67,8,0,0.262,0,20.01,0
194,789.77,4,3,android,gaming,ecommerce,EC,26,15,0,0.149,0,13.77,1
195,101.18,10,3,web,pharmacy,ecommerce,CO,11,8,0,0.366,0,6.54,0
196,119.92,0,0,android,fashion,card_present,ES,62,10,0,0.545,0,49.26,0
197,410.45,4,5,ios,fashion,card_present,EC,101,13,0,0.121,0,65.21,0
198,178.91,19,1,android,fashion,card_present,EC,99,15,0,0.298,0,3.21,0
199,244.32,3,6,web,grocery,card_present,EC,33,13,0,0.29,0,33.29,0
200,215.26,4,2,web,grocery,card_present,EC,104,15,0,0.394,0,22.18,0
201,321.39,12,1,ios,grocery,ecommerce,EC,43,10,0,0.397,0,8.89,0
202,756.4,2,4,pos_terminal,travel,ecommerce,EC,67,12,0,0.447,0,17.18,0
203,263.76,6,3,web,travel,ecommerce,EC,39,8,0,0.691,0,5.47,0
204,410.65,22,3,web,grocery,card_present,EC,63,15,0,0.193,0,19.46,0
205,47.58,15,6,web,grocery,ecommerce,CO,64,11,0,0.183,0,56.65,0
206,235.95,23,2,android,fuel,card_present,CO,84,15,1,0.395,0,28.57,0
207,124.96,8,2,android,travel,ecommerce,ES,57,10,0,0.611,0,55.98,0
208,92.53,14,4,android,fuel,card_present,EC,63,10,0,0.087,0,33.03,0
209,121.52,5,1,ios,electronics,ecommerce,EC,78,23,0,0.41,0,43.82,0
210,187.78,9,5,android,restaurant,ecommerce,EC,50,8,0,0.314,0,8.27,0
211,510.46,4,1,android,electronics,wallet,EC,63,19,0,0.504,0,2.2,0
212,84.9,19,1,ios,services,card_present,EC,10,16,0,0.463,0,12.61,0
213,251.41,4,0,android,gaming,ecommerce,US,105,7,0,0.359,0,5.49,0
214,166.54,4,2,android,fashion,card_present,US,15,11,0,0.438,0,8.43,0
215,188.75,11,4,web,grocery,card_present,ES,105,14,0,0.232,0,35.66,0
216,547.19,10,4,android,grocery,ecommerce,EC,91,10,0,0.494,0,37.08,0
217,377.31,7,6,ios,grocery,ecommerce,EC,114,16,0,0.6,0,49.43,0
218,715.16,8,5,web,restaurant,ecommerce,PE,2,9,0,0.368,0,21.81,0
219,216.8,7,2,ios,grocery,card_present,EC,26,12,0,0.277,0,9.24,0
220,140.59,21,5,android,grocery,ecommerce,EC,6,15,0,0.324,0,35.39,0
221,205.1,13,1,web,fashion,ecommerce,EC,50,21,1,0.492,0,21.1,1
222,297.85,22,1,web,pharmacy,card_present,EC,109,12,0,0.342,0,0.0,0
223,282.55,23,2,web,grocery,card_present,EC,92,12,0,0.134,1,7.32,0
224,103.04,15,3,ios,grocery,card_present,EC,85,13,0,0.521,0,49.49,0
225,263.74,19,1,web,grocery,ecommerce,US,102,8,0,0.173,1,24.98,0
226,294.47,2,6,ios,grocery,card_present,EC,0,14,0,0.426,0,7.08,0
227,1838.24,22,1,android,grocery,card_present,EC,95,10,0,0.014,0,23.26,0
228,1101.1,11,2,web,pharmacy,ecommerce,EC,37,15,0,0.369,0,24.19,0
229,123.96,17,4,android,services,ecommerce,EC,83,12,0,0.338,0,9.57,0
230,194.94,5,3,web,electronics,card_present,EC,92,9,0,0.0,0,19.24,0
231,76.08,2,2,web,grocery,wallet,EC,82,9,0,0.41,0,9.72,0
232,152.94,21,6,ios,grocery,ecommerce,EC,50,12,0,0.152,0,13.11,0
233,315.79,10,3,android,grocery,card_present,EC,74,10,0,0.365,0,19.13,0
234,643.72,3,0,web,pharmacy,atm,EC,56,16,0,0.276,0,36.43,0
235,136.91,15,5,web,travel,ecommerce,US,76,7,1,0.083,0,5.64,0
236,145.37,1,4,android,fashion,card_present,PE,55,16,0,0.162,0,16.01,0
237,44.02,10,1,web,electronics,card_present,US,47,11,0,0.176,0,42.25,0
238,215.39,16,5,android,grocery,ecommerce,US,24,13,0,0.527,0,32.98,0
239,104.86,17,2,web,grocery,card_present,EC,46,9,0,0.5,0,0.63,0
240,160.62,10,1,android,restaurant,wallet,EC,87,10,0,0.745,0,36.98,0
241,121.64,8,1,web,restaurant,card_present,US,105,15,0,0.258,0,4.12,0
242,227.51,20,5,ios,grocery,card_present,PE,12,8,0,0.252,0,66.06,0
243,60.12,4,1,ios,electronics,ecommerce,US,22,14,0,0.374,1,48.02,0
244,75.86,1,3,pos_terminal,pharmacy,ecommerce,EC,61,14,0,0.286,0,23.44,0
245,1347.47,3,5,pos_terminal,travel,wallet,EC,85,13,0,0.245,1,16.7,0
246,87.59,19,5,android,grocery,card_present,EC,20,8,0,0.36,0,12.21,0
247,102.02,11,3,android,restaurant,card_present,EC,39,13,0,0.477,0,19.57,0
248,1066.48,0,6,web,pharmacy,ecommerce,EC,5,23,0,0.0,0,12.18,0
249,2506.49,4,2,android,fashion,card_present,ES,6,15,0,0.247,1,4.77,0
250,96.09,0,6,android,fuel,card_present,CO,17,11,0,0.097,0,4.33,0
251,182.73,19,1,android,pharmacy,card_present,EC,88,14,1,0.322,0,13.92,0
252,322.41,11,0,android,fashion,atm,PE,105,10,0,0.428,0,10.03,0
253,978.03,1,5,web,gaming,ecommerce,EC,60,13,0,0.551,0,16.56,0
254,111.4,5,5,android,fashion,card_present,EC,21,13,0,0.272,0,18.75,0
255,201.62,14,6,android,grocery,ecommerce,EC,111,7,0,0.369,0,36.5,0
256,456.9,14,6,pos_terminal,fuel,wallet,EC,33,13,0,0.047,0,7.9,0
257,347.37,19,0,android,grocery,wallet,EC,18,15,0,0.195,0,3.56,0
258,181.57,0,4,android,electronics,ecommerce,EC,16,14,0,0.387,0,30.4,0
259,220.42,1,4,ios,restaurant,wallet,ES,42,13,0,0.105,0,20.9,0
260,81.67,0,4,web,travel,ecommerce,EC,89,10,0,0.573,0,19.96,0
261,202.76,9,0,web,grocery,ecommerce,PE,48,19,0,0.444,0,36.36,0
262,198.24,17,0,android,pharmacy,card_present,EC,53,9,0,0.187,0,31.41,0
263,295.4,15,4,web,grocery,wallet,EC,41,17,0,0.083,1,23.48,0
264,157.33,5,5,ios,grocery,card_present,US,114,17,0,0.221,0,5.37,0
265,357.74,15,1,ios,restaurant,ecommerce,EC,82,6,0,0.188,0,27.13,0
266,551.56,15,0,ios,fuel,card_present,EC,80,18,0,0.131,0,41.15,0
267,277.81,4,2,android,fashion,card_present,US,52,20,0,0.097,0,11.25,0
268,325.05,17,2,web,fashion,card_present,EC,64,15,0,0.309,0,40.34,0
269,255.98,10,6,ios,services,card_present,EC,107,11,0,0.482,0,50.75,0
270,245.34,1,6,ios,electronics,ecommerce,EC,79,7,0,0.222,0,45.66,0
271,137.74,9,3,web,restaurant,card_present,EC,98,13,0,0.43,0,4.8,0
272,316.01,18,6,ios,restaurant,wallet,EC,4,14,0,0.291,0,37.24,0
273,226.96,16,1,web,gaming,atm,CO,104,16,0,0.46,0,8.88,0
274,1309.13,6,6,android,fuel,ecommerce,US,115,8,0,0.208,0,16.46,0
275,863.74,18,3,android,grocery,ecommerce,EC,80,12,0,0.401,0,36.84,0
276,334.04,9,3,ios,fuel,ecommerce,EC,115,10,0,0.372,0,13.53,0
277,133.24,11,0,android,restaurant,ecommerce,CO,68,19,0,0.595,0,52.32,0
278,100.75,2,1,android,fuel,card_present,EC,33,8,0,0.451,0,50.65,0
279,636.19,23,1,android,grocery,ecommerce,CO,73,13,0,0.396,0,23.94,0
280,302.71,20,3,web,gaming,card_present,ES,76,9,1,0.085,0,8.45,0
281,360.21,4,1,pos_terminal,pharmacy,card_present,EC,17,17,0,0.255,0,15.17,0
282,60.76,13,0,web,pharmacy,card_present,CO,24,15,0,0.206,0,18.25,0
283,515.19,18,4,web,gaming,ecommerce,EC,35,13,0,0.202,1,24.07,0
284,352.88,12,6,web,grocery,card_present,EC,66,14,1,0.353,0,13.73,0
285,100.91,5,0,web,pharmacy,wallet,CO,17,8,0,0.393,0,35.62,0
286,168.24,23,3,android,fuel,ecommerce,EC,93,12,0,0.4,0,19.7,0
287,302.95,6,6,android,fuel,ecommerce,EC,13,20,0,0.577,0,8.77,0
288,255.84,8,2,web,fashion,ecommerce,EC,113,13,0,0.437,1,56.67,0
289,194.19,8,1,pos_terminal,electronics,ecommerce,EC,81,8,0,0.129,0,3.21,0
290,225.83,21,0,web,restaurant,wallet,EC,41,13,0,0.386,0,18.03,0
291,200.54,12,6,android,electronics,ecommerce,EC,45,14,0,0.455,0,12.88,0
292,277.17,17,2,pos_terminal,gaming,card_present,EC,83,9,0,0.577,0,65.92,0
293,796.14,21,0,android,restaurant,ecommerce,EC,10,10,0,0.322,0,19.13,0
294,31.48,22,6,ios,fashion,atm,EC,86,15,0,0.324,0,19.47,0
295,202.98,20,5,web,grocery,card_present,EC,66,8,0,0.544,0,39.26,0
296,282.53,21,4,ios,grocery,ecommerce,EC,26,9,0,0.382,0,14.83,1
297,310.87,22,0,web,electronics,card_present,US,108,14,0,0.062,0,29.09,0
298,182.19,23,0,android,grocery,atm,CO,76,13,0,0.024,0,37.75,0
299,60.17,15,1,pos_terminal,restaurant,ecommerce,EC,19,23,0,0.681,0,62.67,0
300,318.93,3,1,android,fuel,wallet,EC,79,15,0,0.042,0,17.6,0
301,976.98,2,3,web,gaming,card_present,EC,49,9,0,0.32,0,13.22,0
302,71.92,19,2,android,restaurant,card_present,EC,92,13,0,0.509,0,38.67,0
303,489.63,7,5,android,restaurant,card_present,US,59,14,0,0.032,0,0.58,0
304,188.63,19,0,android,electronics,card_present,EC,120,11,0,0.155,0,5.86,0
305,233.58,22,5,android,pharmacy,card_present,ES,112,13,0,0.126,0,7.48,0
306,105.66,15,6,android,electronics,card_present,EC,4,17,0,0.674,0,1.0,0
307,187.73,18,0,android,fuel,card_present,EC,49,25,0,0.713,0,31.66,0
308,694.1,6,4,pos_terminal,fuel,card_present,EC,24,9,0,0.218,1,1.99,0
309,391.0,10,3,android,grocery,card_present,EC,54,6,0,0.454,0,23.89,0
310,980.86,23,0,web,restaurant,ecommerce,EC,17,8,0,0.405,0,9.11,0
311,629.24,19,2,web,services,card_present,EC,64,13,0,0.299,0,3.57,0
312,348.58,4,5,web,fuel,ecommerce,EC,18,12,0,0.057,1,5.84,0
313,990.03,22,6,ios,travel,ecommerce,CO,75,22,0,0.765,0,17.82,0
314,348.55,11,2,android,fashion,card_present,CO,54,13,0,0.023,0,46.27,0
315,475.79,20,0,android,grocery,card_present,EC,120,10,0,0.388,0,6.27,0
316,193.51,12,1,android,electronics,atm,ES,106,11,0,0.233,0,13.19,0
317,258.74,14,5,ios,gaming,card_present,EC,72,10,0,0.531,0,24.1,0
318,140.42,3,3,ios,fashion,wallet,US,54,6,0,0.502,0,11.5,0
319,541.45,8,3,web,grocery,card_present,EC,86,9,0,0.174,0,32.01,0
320,95.58,17,0,web,fashion,card_present,US,80,14,0,0.208,0,23.98,0
321,458.73,20,5,web,fashion,wallet,EC,16,11,0,0.071,0,25.66,0
322,210.62,2,3,android,fashion,ecommerce,CO,45,9,0,0.385,1,25.31,0
323,626.15,1,3,web,grocery,ecommerce,ES,120,9,0,0.478,0,20.62,0
324,447.32,16,5,android,fashion,ecommerce,US,38,14,0,0.271,0,7.96,0
325,1052.69,10,3,web,gaming,atm,EC,1,16,0,0.306,0,12.09,0
